Area,name,id,category,location,restaurant
"Wichita, Kansas",Bomber Burger,4b69b716f964a52085af2be3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}","(37.604027016349725, -97.29382834827611)",True
"Wichita, Kansas",La Hacienda Mexican Restaurant,52be2bcd11d29221d459c3d4,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.55627967226966, -97.2733489471609)",True
"Wichita, Kansas",Freddy's Frozen Custard,4bad336bf964a52074383be3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.569026672889805, -97.24378192388325)",True
"Wichita, Kansas",Air Capital RV Park,504bc904e4b086a8fa2f9a3d,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}","(37.60613566812776, -97.32966110873969)",False
"Wichita, Kansas",Braums,5179cd07498e8b83334738b0,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}","(37.57041680717827, -97.24527239905707)",True
"Wichita, Kansas",Chick-fil-A,54af20b8498e19b6d17fa087,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.5655578, -97.2434108)",True
"Wichita, Kansas",Braum's Ice Cream & Burger Restaurant,4c9b90c4292a6dcbefc7d876,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}","(37.608491046140784, -97.33082554019352)",True
"Wichita, Kansas",Holiday Inn Express Wichita South,54c015f6498e194c92380b23,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}","(37.606068508253784, -97.32252096295167)",False
"Wichita, Kansas",Spangles,4c3a686518e72d7fd4f41bf5,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.563587051011595, -97.24499991210918)",True
"Wichita, Kansas",Olive Garden,4ef38b30f9ab42ef2e674788,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}","(37.564782694672445, -97.24349231282059)",True
"Wichita, Kansas",Kohl's,4c478ef51ddec9287fdd9d32,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_', 'suffix': '.png'}","(37.57896531503875, -97.2764633221766)",False
"Wichita, Kansas",Hog Wild Pit Bar-B-Q,4ba01e63f964a5208c5b37e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}","(37.608571052847715, -97.32994079589844)",True
"Wichita, Kansas",Pizza Johns,4bdc5b6dafe8c9b6fa094f85,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}","(37.54196116924069, -97.26958557308161)",True
"Wichita, Kansas",Walgreens,4c3e1a8fca012d7f15062fbe,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_', 'suffix': '.png'}","(37.5475813, -97.2694876)",False
"Wichita, Kansas",Dillons,4b81be7df964a52074bb30e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(37.563678027102114, -97.24123567353672)",True
